Date,price,ret,mwtrv,atrct,cptrv,etrav,toutv,trfee,totbc,trvou,etrvu,trfus,diffy,mwntd,mwnus,avbls,blchs,hrate,rtrbl,naddu,ntrep,ntrat,ntran,mirev,cptra,mktcp,gld,bond,usd,sp500
2010-09-02,0.0634,5.511929922107939,0.0,0.0,28.9617397317,27623.0,45194.3100001,0.0,3894550.0,521.5918,1751.0,0.0,7.196376827778295e-11,0.0,0.0,-4.0119767978999974e-05,0.0,-0.0004958197417375895,0.0,-68.0,-66.0,314.0,6.0,32.30500000000001,0.07341974107999993,2450.475000000006,0.0014376999281528547,0.0,-0.007663335134933815,0.027893522922483167
2010-09-03,0.0613,-3.36840185010141,0.0,0.0,33.3030302189317,25222.93,45032.56,0.0,3889200.0,96.1797,1513.3758,0.0,0.0,0.0,0.0,1.4730045043169406e-06,28.904086,0.0005887859433100001,0.9451219512195099,-50.0,-28.0,-241.0,5.0,-3.1999999999999886,-0.06927435426134987,-13562.470000000001,0.0012762225549699075,-0.01429432657589654,-0.0007271405519440933,0.007599345725388515
2010-09-04,0.06,-2.1435280720065286,0.0,0.0,59.1060969034,13704.0,39076.36,0.01,3911600.0,0.0,862.0,0.000629,-7.196376827778295e-11,0.0,0.0,7.432580776830199e-07,-28.904086,3.629908873481469e-15,0.054878048780490074,-6.0,-12.0,830.0,-16.0,5.490000000000009,0.13547287857134993,12687.640000000014,0.00603991345810787,0.0,-0.005287641091787849,0.012765160799667894
2010-09-05,0.064,6.453852113757108,0.0,0.0,21.9018362292,38581.0,94878.7899984,1e-07,3911300.0,432.0,2469.0,6.400000000000001e-09,7.196376827778295e-11,0.0,0.0,-4.3412524218999966e-05,0.0,-0.0003098873385836299,-1.0,19.0,24.0,298.0,-5.0,31.309999999999945,0.1332799521600001,-11361.640000000014,0.0,0.0,0.0,0.0
2010-09-06,0.06185,-3.417098452117484,0.0,0.0,28.6761394697676,28246.48,34840.22,1e-07,3927600.0,134.3382,1694.7888,6e-09,0.0,0.0,0.0,4.137828126944297e-05,29.15122,-0.0005577972094600002,0.75949367088608,-42.0,-27.0,-225.0,-20.0,-54.79999999399996,-0.10349749501507,8244.059999999998,0.0,0.0,0.0,0.0
2010-09-07,0.06,-3.036753661639624,0.0,0.0,59.703462329,12730.0,26241.26,2e-07,3935200.0,0.0,789.0,1.2401999999999999e-08,-7.196376827778295e-11,0.0,0.0,-1.0376923557442962e-05,-29.15122,6.002143226879753e-16,0.24050632911392,6.0,11.0,788.0,14.0,-14.724000005999983,-0.0973087015449301,1099.69200000001,0.0,0.0,0.0034067437742348705,0.00022647491887083242
2010-09-08,0.0624,3.922071315328113,0.0,0.0,46.4243418504,16263.0,40414.58,0.11,3933650.0,167.2944,1015.0,0.006864,89.49790468307197,0.0,0.0,0.00013954321986500001,0.0,0.0006717937109393998,0.0,93.0,61.0,343.0,51.0,-0.1560000000000059,-0.2404312073199999,-8002.752000000008,-0.0012685326366102957,0.009162521518376605,0.006416875338921126,-0.011387050847042057
2010-09-09,0.06201,-0.6269613013595077,0.0,0.0,40.1402954047416,17065.4200001,25097.6199962,0.1100001,3951300.0,315.38286,1023.925200006,0.006600006,0.0,0.0,0.0,7.967988278292492e-05,29.398527,0.0007087539766299994,0.3999999999999999,27.0,35.0,-232.0,-19.0,-60.11339999400002,-0.11277125505380003,9001.113000000012,0.0,-0.011525471578145891,-0.0032032906421517893,0.0070752320709209435
2010-09-10,0.06,-3.295110013968605,0.0,0.0,90.4042072556,8960.0,23023.329998,0.0,3959400.0,0.0,556.0,0.0,9.708855941426009e-11,0.0,0.0,-0.00026861238659492496,-29.398527,2.1206994493816467e-15,-0.3999999999999999,-16.0,-18.0,906.0,-28.0,91.193399994,0.4358651798838,462.68699999997625,-0.007725121044288346,0.0,0.002176937426206124,0.0034056111925830643
2010-09-11,0.064999,8.002732293980763,0.0,0.0,63.4967339084,14410.0,26765.4800003,0.15,3955900.0,494.382394,937.0,0.00974985,-9.708855941426009e-11,0.0,0.0,0.00010116523490999999,0.0,0.00042525238597787996,-1.0,-2.0,-10.0,350.0,54.0,92.54085000000003,0.0026379498099999843,-8128.799999999988,-0.0026417979580124064,-0.004742716976268974,-0.001208824565453599,0.008575994786892803
2010-09-12,0.06201,-4.707622280012158,0.0,0.0,56.5317316493763,15655.19,114883.92,0.15,3976750.0,92.76696,939.3114,0.009,0.0,0.0,0.0,0.00015314495457255904,29.675789,-0.0006733162778000002,1.14124293785311,97.0,86.0,-265.0,29.0,-63.73185000000001,-0.29818041575718013,9244.267499999987,0.0,0.0,0.0,0.0
2010-09-13,0.06,-3.295110013968605,0.0,0.0,44.8221449088,21753.0,125727.9300001,0.00960362,3978050.0,0.0,1394.0,0.000615592042,9.708855941426009e-11,0.0,0.0,-6.570701018855901e-05,-29.675789,-2.498001805406602e-16,-1.14124293785311,23.0,0.0,1138.0,58.0,93.96600000000001,0.029069585747180104,-7915.267499999987,0.0,0.0,0.0,0.0
2010-09-14,0.175,107.04414117014134,0.0,0.0,34.417358065,27312.0,46988.2303965,0.0,3995900.0,1035.825,4780.0,0.0,-9.708855941426009e-11,0.0,0.0,6.347940843499998e-05,0.0,0.0008505047719602494,1.0,-21.0,14.0,450.0,13.0,1020.025,2.22540681414,460599.5,0.0051171455708184845,0.011814882237631393,-0.007076689300995241,0.0073883689951534885
